region,industry,anzsco4_code,occupation,employment_2025,annual_growth_rate_pct,employment_growth_2025_2035,retirements_2025_2035,total_new_workers_expected_by_2035,net_worker_demand_2025_2035,positive_worker_demand_2025_2035,is_primary_industry_statewide
Barwon,Accommodation and food services,1111,Chief executives and managing directors,16.6270481936,0.022032440282,4.048734784,5.5703589583,9.6190937423,9.619093742299999,9.6190937423,False
Barwon,Accommodation and food services,1112,General managers,49.6731823442,0.022632705497,12.4593085681,10.0056537511,22.4649623192,22.4649623192,22.4649623192,False
Barwon,Accommodation and food services,1212,Crop farmers,3.4550820714,-0.033317947138,-0.99304309005,0.97623915493,-0.016803935123,-0.016803935120000002,0.0,False
Barwon,Accommodation and food services,1213,Livestock farmers,9.3606567675,-0.033574835672,-2.7080995379,2.9372965413,0.22919700345,0.22919700339999993,0.22919700345,False
Barwon,Accommodation and food services,1311,"Advertising, public relations and sales managers",33.1724523664,0.024609199994,9.1294686616,3.3091549251,12.4386235866,12.4386235867,12.4386235866,False
Barwon,Accommodation and food services,1322,Finance managers,10.1292207891,0.024631300465,2.7904730881,2.0124196357,4.8028927238,4.8028927238,4.8028927238,False
Barwon,Accommodation and food services,1323,Human resource managers,15.4988835196,0.024019601087,4.1520466004,2.9169740943,7.0690206948,7.069020694700001,7.0690206948,False
Barwon,Accommodation and food services,1331,Construction managers,2.5418233965,0.028769595823,0.83358696753,0.56892783026,1.4025147978,1.4025147977899999,1.4025147978,False
Barwon,Accommodation and food services,1399,Other specialist managers,5.1382257408,0.02626852908,1.5209931952,0.99575368588,2.5167468811,2.51674688108,2.5167468811,False
Barwon,Accommodation and food services,1411,Cafe and restaurant managers,780.1372063391,0.020601825193,176.4716504037,187.9076657349,364.3793161385,364.3793161386,364.3793161385,True
Barwon,Accommodation and food services,1412,Caravan park and camping ground managers,66.9199600042,0.021297339267,15.6986106864,64.7775167019,80.4761273882,80.4761273883,80.4761273882,True
Barwon,Accommodation and food services,1413,Hotel and motel managers,185.9545977276,0.019932822972,40.5737740151,69.8301297122,110.4039037273,110.4039037273,110.4039037273,True
Barwon,Accommodation and food services,1414,Licensed club managers,44.7948894385,0.0049626226985,2.2733076839,3.132735851,5.4060435349,5.4060435349,5.4060435349,True
Barwon,Accommodation and food services,1419,Other accommodation and hospitality managers,107.2344152077,0.020827301627,24.5478454665,94.8996183297,119.4474637962,119.4474637962,119.4474637962,True
Barwon,Accommodation and food services,1421,Retail managers,528.9888726612,0.020623980598,119.801235534,101.8986946303,221.6999301643,221.69993016429999,221.6999301643,False
Barwon,Accommodation and food services,1491,"Amusement, fitness and sports centre managers",16.4120704339,0.021936560261,3.9772493478,2.2775209539,6.2547703017,6.2547703017,6.2547703017,False
Barwon,Accommodation and food services,1492,Call or contact centre and customer service managers,15.2572593995,0.021081692667,3.5394326561,2.2484743273,5.7879069834,5.787906983399999,5.7879069834,False
Barwon,Accommodation and food services,1493,Conference and event organisers,49.4926285585,0.02143508634,11.6928326369,5.4086480933,17.1014807302,17.101480730200002,17.1014807302,False
Barwon,Accommodation and food services,1499,"Other hospitality, retail and service managers",21.2204659202,0.019621843625,4.5514214158,3.7729290868,8.3243505026,8.3243505026,8.3243505026,False
Barwon,Accommodation and food services,2112,Music professionals,6.0564281606,0.039807118713,2.8919521554,1.2845869916,4.176539147,4.176539147,4.176539147,False
Barwon,Accommodation and food services,2211,Accountants,14.0681970214,0.024733206625,3.893465819,1.5693968519,5.4628626709,5.4628626709,5.4628626709,False
Barwon,Accommodation and food services,2233,Training and development professionals,3.9883844058,0.044894848288,2.1992249731,0.90900798434,3.1082329574,3.1082329574400003,3.1082329574,False
Barwon,Accommodation and food services,2247,Management and organisation analysts,4.8769122183,0.023724412953,1.2886905326,0.25295567758,1.5416462102,1.54164621018,1.5416462102,False
Barwon,Accommodation and food services,2251,Advertising and marketing professionals,7.6698071232,0.026472445987,2.2901484643,0.83004253898,3.1201910033,3.12019100328,3.1201910033,False
Barwon,Accommodation and food services,2324,"Graphic and web designers, and illustrators",6.3225806558,0.036374257914,2.7151740524,0.42847812658,3.143652179,3.14365217898,3.143652179,False
Barwon,Accommodation and food services,2343,Environmental scientists,3.2826539014,0.041865229997,1.6643305195,0.42844962329,2.0927801428,2.09278014279,2.0927801428,False
Barwon,Accommodation and food services,2422,Vocational education teachers \ polytechnic teachers,3.7830897981,0.055460069442,2.7072095174,1.7625609342,4.4697704516,4.4697704516,4.4697704516,False
Barwon,Accommodation and food services,2726,"Welfare, recreation and community arts workers",1.5360713703,0.027410041941,0.47695496668,0.33177719002,0.8087321567,0.8087321567,0.8087321567,False
Barwon,Accommodation and food services,3312,Carpenters and joiners,11.4000091524,0.03379833968,4.4950995906,1.4547944567,5.9498940473,5.9498940473,5.9498940473,False
Barwon,Accommodation and food services,3411,Electricians,6.1606240813,0.022108480807,1.50583156,0.87408583681,2.3799173968,2.37991739681,2.3799173968,False
Barwon,Accommodation and food services,3511,Bakers and pastrycooks,65.4574505817,0.027030104894,20.008047355,9.5499557393,29.5580030944,29.5580030943,29.5580030944,False
Barwon,Accommodation and food services,3513,Chefs,1375.1605941175,0.02731090975,425.2535709506,228.9435682083,654.1971391589,654.1971391589,654.1971391589,True
Barwon,Accommodation and food services,3514,Cooks,284.122397677,0.027148631042,87.2745991777,75.9667257656,163.2413249433,163.24132494330001,163.2413249433,True
Barwon,Accommodation and food services,3622,Gardeners,34.7867769419,0.043869896049,18.6546351179,7.905411135,26.5600462529,26.5600462529,26.5600462529,False
Barwon,Accommodation and food services,3623,Greenkeepers,10.1578304997,0.040534444599,4.9556876919,2.1500436424,7.1057313343,7.1057313343,7.1057313343,False
Barwon,Accommodation and food services,3932,Clothing trades workers,3.0877235949,0.013410836134,0.43999434963,1.1865712907,1.6265656404,1.62656564033,1.6265656404,False
Barwon,Accommodation and food services,4116,Massage therapists,2.5049298038,0.0074994793289,0.19432488074,0.54705198959,0.74137687034,0.74137687033,0.74137687034,False
Barwon,Accommodation and food services,4117,Welfare support workers,2.1565343213,0.014108394909,0.32431366114,0.41123838858,0.73555204972,0.73555204972,0.73555204972,False
Barwon,Accommodation and food services,4231,Aged and disabled carers,4.3728951994,0.014054788703,0.65496590726,1.7361604764,2.3911263837,2.39112638366,2.3911263837,False
Barwon,Accommodation and food services,4233,Nursing support and personal care workers,3.2718744235,0.015959630355,0.56132258675,0.98425281638,1.5455754031,1.54557540313,1.5455754031,False
Barwon,Accommodation and food services,4311,Bar attendants and baristas,1634.4354586246,0.017143985021,302.8433488583,131.5291995058,434.3725483641,434.3725483641,434.3725483641,True
Barwon,Accommodation and food services,4312,Cafe workers,369.5108107238,0.016701765363,66.5659324446,62.8303121775,129.3962446221,129.3962446221,129.3962446221,True
Barwon,Accommodation and food services,4313,Gaming workers,15.7042831687,0.016750253569,2.8379061687,2.0254576276,4.8633637963,4.8633637963,4.8633637963,False
Barwon,Accommodation and food services,4314,Hotel service managers,85.1173964145,0.019834811028,18.4723218107,6.0514792509,24.5238010615,24.523801061599997,24.5238010615,True
Barwon,Accommodation and food services,4315,Waiters,1855.5584084014,0.017293802637,347.056717049,178.1544748194,525.2111918684,525.2111918684,525.2111918684,True
Barwon,Accommodation and food services,4319,Other hospitality workers,25.7250925252,0.018985765699,5.3232284153,3.6747456214,8.9979740367,8.9979740367,8.9979740367,False
Barwon,Accommodation and food services,4422,Security officers and guards,9.81491488,0.01012739144,1.0405397619,3.2069703787,4.2475101406,4.2475101406,4.2475101406,False
Barwon,Accommodation and food services,4511,Beauty therapists,2.5942335342,0.021154097352,0.60408645016,0.16358803391,0.76767448407,0.7676744840699999,0.76767448407,False
Barwon,Accommodation and food services,4515,Personal care consultants,3.2443962954,0.015772279743,0.54960491522,1.602243654,2.1518485693,2.1518485692200002,2.1518485693,False
Barwon,Accommodation and food services,4521,Fitness instructors,2.9454447882,0.015772279743,0.49896214448,0.21268961125,0.71165175573,0.71165175573,0.71165175573,False
Barwon,Accommodation and food services,5121,Office managers,25.4145319942,0.016054933926,4.3880579725,8.0845944977,12.4726524702,12.4726524702,12.4726524702,False
Barwon,Accommodation and food services,5212,Secretaries,2.18391981,0.01509930769,0.35308916472,0.49428354404,0.84737270876,0.84737270876,0.84737270876,False
Barwon,Accommodation and food services,5311,General clerks,29.9405793084,0.02095839909,6.9012055341,11.7996475346,18.7008530687,18.7008530687,18.7008530687,False
Barwon,Accommodation and food services,5411,Call or contact centre workers,1.1697134682,-0.0035406270941,-0.040761522851,0.056165657311,0.01540413446,0.015404134459999996,0.01540413446,False
Barwon,Accommodation and food services,5412,Information officers,10.4816018082,0.014312349126,1.6005638768,1.9536262573,3.5541901341,3.5541901340999997,3.5541901341,False
Barwon,Accommodation and food services,5421,Receptionists,108.0040202106,0.016757485666,19.5263752366,35.9430410293,55.4694162659,55.469416265899994,55.4694162659,False
Barwon,Accommodation and food services,5511,Accounting clerks,24.9315278882,0.017201829359,4.6363543497,7.766474086,12.4028284357,12.4028284357,12.4028284357,False
Barwon,Accommodation and food services,5512,Bookkeepers,33.853905934,-0.00058954446368,-0.1990551738,21.167653347,20.9685981732,20.9685981732,20.9685981732,False
Barwon,Accommodation and food services,5513,Payroll clerks,18.3341851713,0.0068642625694,1.2981010493,6.9233764106,8.2214774598,8.221477459900001,8.2214774598,False
Barwon,Accommodation and food services,5611,Betting clerks,6.147666218,-0.0003439444791,-0.021111862055,1.9761591148,1.9550472527,1.955047252745,1.9550472527,False
Barwon,Accommodation and food services,5612,Couriers and postal deliverers,1.2344911506,-0.016197902,-0.18599841747,0.4618508659,0.27585244843,0.27585244843,0.27585244843,False
Barwon,Accommodation and food services,5619,Other clerical and office support workers,2.1961619435,-0.0003439444791,-0.0075418974221,0.52565682079,0.51811492337,0.5181149233679,0.51811492337,False
Barwon,Accommodation and food services,5911,Purchasing and supply logistics clerks,35.0556315907,0.023558660127,9.1915046243,7.7770006192,16.9685052435,16.9685052435,16.9685052435,False
Barwon,Accommodation and food services,6113,Sales representatives,6.5094451572,0.016514689121,1.1585275813,1.1034221716,2.261949753,2.2619497528999997,2.261949753,False
Barwon,Accommodation and food services,6121,Real estate sales agents,20.7629578179,0.017268636456,3.87732968,4.3257594995,8.2030891794,8.203089179500001,8.2030891794,False
Barwon,Accommodation and food services,6211,Sales assistants (general,1550.7585132579,0.025034101864,435.0040358755,300.6512569304,735.6552928059,735.6552928059,735.6552928059,False
Barwon,Accommodation and food services,6215,Retail supervisors,67.7602359204,0.024811814967,18.8194780055,11.9510427974,30.7705208029,30.7705208029,30.7705208029,False
Barwon,Accommodation and food services,6217,Street vendors and related salespersons,7.7856677353,0.026036263364,2.281863124,0.86442371601,3.14628684,3.14628684001,3.14628684,False
Barwon,Accommodation and food services,6311,Checkout operators and office cashiers,145.3607594915,0.014048019935,21.7607682569,16.5276137179,38.2883819748,38.288381974800004,38.2883819748,False
Barwon,Accommodation and food services,6394,Ticket salespersons,13.9716888918,-0.17438846233,-11.9157678038,25.6491143983,13.7333465945,13.7333465945,13.7333465945,False
Barwon,Accommodation and food services,7129,Other stationary plant operators,3.2745436873,0.017618886259,0.6248975004,0.76550090638,1.3903984068,1.3903984067800002,1.3903984068,False
Barwon,Accommodation and food services,7312,Bus and coach drivers,5.863626426,0.02799165114,1.8642855889,1.9725644887,3.8368500776,3.8368500776000003,3.8368500776,False
Barwon,Accommodation and food services,7321,Delivery drivers,224.2066018277,0.027111902828,68.7653319591,75.9014772223,144.6668091813,144.6668091814,144.6668091813,False
Barwon,Accommodation and food services,7411,Storepersons,13.3504849529,0.027912552361,4.2311288626,3.3101144734,7.541243336,7.541243336000001,7.541243336,False
Barwon,Accommodation and food services,8112,Commercial cleaners,131.2888431196,-0.0090642510297,-11.4264941654,59.257049823,47.8305556576,47.8305556576,47.8305556576,False
Barwon,Accommodation and food services,8113,Domestic cleaners,6.2458297837,0.049559357645,3.8853540286,5.325877895,9.2112319237,9.2112319236,9.2112319237,False
Barwon,Accommodation and food services,8114,Housekeepers,193.2962519153,0.030522293104,67.7980207537,83.3523575072,151.1503782609,151.1503782609,151.1503782609,True
Barwon,Accommodation and food services,8311,Food and drink factory workers,11.9949996395,0.037569567613,5.3499279586,3.8082567866,9.1581847452,9.1581847452,9.1581847452,False
Barwon,Accommodation and food services,8321,Packers,14.6734120866,0.026156314707,4.3227704738,4.5336410579,8.8564115318,8.856411531700001,8.8564115318,False
Barwon,Accommodation and food services,8414,Garden and nursery labourers,2.1155582077,0.042851531052,1.1029143456,0.66830574304,1.7712200886,1.7712200886399998,1.7712200886,False
Barwon,Accommodation and food services,8511,Fast food cooks,769.4553568632,0.012136228147,98.6513851944,35.3412054634,133.9925906579,133.9925906578,133.9925906579,True
Barwon,Accommodation and food services,8512,Food trades assistants,3.8827887028,0.078981218335,4.421120806,1.2951811827,5.7163019887,5.7163019887,5.7163019887,False
Barwon,Accommodation and food services,8513,Kitchenhands,1792.0216873204,0.01501328889,287.9649428334,494.2118617163,782.1768045497,782.1768045497,782.1768045497,True
Barwon,Accommodation and food services,8991,Caretakers,10.4336543879,-0.01161544503,-1.1504919605,7.8047976414,6.6543056809,6.6543056809,6.6543056809,False
Barwon,Accommodation and food services,8993,Handypersons,54.3112373695,0.028632884191,17.7154992666,49.973113681,67.6886129476,67.6886129476,67.6886129476,False
Barwon,Accommodation and food services,8997,Vending machine attendants,29.3450316346,0.057056768382,21.766358806,6.3158526018,28.0822114077,28.0822114078,28.0822114077,True
Barwon,Administrative and support services,1111,Chief executives and managing directors,7.7990859619,0.055781275393,5.6218641201,3.2230490177,8.8449131378,8.844913137799999,8.8449131378,False
Barwon,Administrative and support services,1112,General managers,16.540876512,0.074680947319,17.449346508,8.5003844509,25.949730959,25.949730958900002,25.949730959,False
Barwon,Administrative and support services,1311,"Advertising, public relations and sales managers",35.6206745532,-0.0014561358122,-0.51529981884,4.6275664897,4.1122666708,4.11226667086,4.1122666708,False
Barwon,Administrative and support services,1322,Finance managers,8.0093869834,0.0020388255715,0.16480381202,1.4908763752,1.6556801872,1.65568018722,1.6556801872,False
Barwon,Administrative and support services,1323,Human resource managers,42.4587027333,0.0054152884458,2.3561082932,7.6594915328,10.015599826,10.015599825999999,10.015599826,False
Barwon,Administrative and support services,1324,Policy and planning managers,3.100578153,0.0065228887981,0.20828827973,0.99836307365,1.2066513534,1.20665135338,1.2066513534,False
Barwon,Administrative and support services,1325,Research and development managers,6.3664119061,0.0065228887981,0.4276779744,1.1486738818,1.5763518562,1.5763518562,1.5763518562,False
Barwon,Administrative and support services,1331,Construction managers,18.4495460445,-0.015620626036,-2.687567327,5.4603605951,2.7727932681,2.7727932681,2.7727932681,False
Barwon,Administrative and support services,1335,Production managers,7.6565639259,-0.034324918013,-2.2571805604,3.4073576645,1.1501771041,1.1501771041,1.1501771041,False
Barwon,Administrative and support services,1342,Health and welfare services managers,7.1594145542,0.0098989418252,0.74112372642,2.3367908484,3.0779145748,3.0779145748200003,3.0779145748,False
Barwon,Administrative and support services,1351,Ict managers,5.4181416883,0.0065228887981,0.36397579931,0.66324060938,1.0272164087,1.02721640869,1.0272164087,False
Barwon,Administrative and support services,1399,Other specialist managers,15.001967177,-0.0042062155863,-0.61920423477,3.5090531955,2.8898489608,2.88984896073,2.8898489608,False
Barwon,Administrative and support services,1419,Other accommodation and hospitality managers,14.124426923,0.0097765269666,1.4432405226,11.6825506532,13.1257911759,13.1257911758,13.1257911759,False
Barwon,Administrative and support services,1421,Retail managers,18.6734247157,0.0025115521332,0.47432900293,3.5714161187,4.0457451216,4.04574512163,4.0457451216,False
Barwon,Administrative and support services,1491,"Amusement, fitness and sports centre managers",3.0287204289,0.0099576044913,0.31546709659,0.43642604513,0.75189314172,0.75189314172,0.75189314172,False
Barwon,Administrative and support services,1492,Call or contact centre and customer service managers,12.2918268902,0.0051927677635,0.65340956816,1.7759710636,2.4293806318,2.42938063176,2.4293806318,False
Barwon,Administrative and support services,1493,Conference and event organisers,69.1892470044,0.0099576044913,7.2066509206,7.647647434,14.8542983546,14.8542983546,14.8542983546,True
Barwon,Administrative and support services,1499,"Other hospitality, retail and service managers",53.5217210349,-0.00013418897967,-0.071776898187,11.3547029669,11.2829260687,11.282926068713,11.2829260687,False
Barwon,Administrative and support services,2111,"Actors, dancers and other entertainers",6.5120802401,-0.011588450126,-0.71648750528,1.893581404,1.1770938987,1.17709389872,1.1770938987,False
Barwon,Administrative and support services,2124,Journalists and other writers,3.4461034756,0.022454785331,0.85687756483,0.65492163123,1.5117991961,1.5117991960600001,1.5117991961,False
Barwon,Administrative and support services,2211,Accountants,9.6270213927,0.0001247402721,0.012015515822,1.0140210879,1.0260366037,1.026036603722,1.0260366037,False
Barwon,Administrative and support services,2231,Human resource professionals,257.4284139777,0.0010108048702,2.6139668702,30.7651046338,33.3790715041,33.379071504,33.3790715041,True
Barwon,Administrative and support services,2233,Training and development professionals,8.442070311,0.021038978328,1.9540711794,2.1226780481,4.0767492275,4.076749227500001,4.0767492275,False
Barwon,Administrative and support services,2247,Management and organisation analysts,27.3223793159,0.0017778182383,0.48964674949,1.3404693897,1.8301161392,1.8301161391899998,1.8301161392,False
Barwon,Administrative and support services,2249,Other information and organisation professionals,3.9503764867,0.0022698376198,0.090588581683,2.1179998257,2.2085884074,2.208588407383,2.2085884074,False
Barwon,Administrative and support services,2251,Advertising and marketing professionals,28.1533882644,0.00097185671961,0.27481029838,2.8602201104,3.1350304088,3.1350304087799996,3.1350304088,False
Barwon,Administrative and support services,2253,Public relations professionals,6.288245754,0.0022698376198,0.14419974047,0.74842604375,0.89262578421,0.89262578422,0.89262578421,False
Barwon,Administrative and support services,2254,Technical sales representatives,3.6561594565,-0.0039570976553,-0.14212852939,0.50417330901,0.36204477961,0.36204477962000003,0.36204477961,False
Barwon,Administrative and support services,2324,"Graphic and web designers, and illustrators",3.3511917747,0.01907921222,0.69716433917,0.23400712545,0.93117146462,0.93117146462,0.93117146462,False
Barwon,Administrative and support services,2332,Civil engineering professionals,6.6713248463,0.01907921222,1.3878673888,1.2527758035,2.6406431923,2.6406431922999998,2.6406431923,False
Barwon,Administrative and support services,2335,"Industrial, mechanical and production engineers",3.6975029882,0.01907921222,0.7692091055,0.63153659283,1.4007456983,1.40074569833,1.4007456983,False
Barwon,Administrative and support services,2343,Environmental scientists,1.6811051392,-0.0076430746578,-0.12415779782,0.19653555581,0.072377757988,0.07237775799000001,0.072377757988,False
Barwon,Administrative and support services,2412,Primary school teachers,9.8386358351,0.065952798209,8.7957303615,4.030269963,12.8260003245,12.8260003245,12.8260003245,False
Barwon,Administrative and support services,2513,Occupational and environmental health professionals,4.5808334029,-0.012186234984,-0.52859270131,0.78668406286,0.25809136155,0.25809136155,0.25809136155,False
Barwon,Administrative and support services,2524,Occupational therapists,9.9593818857,-0.012186234984,-1.1492355454,0.86759280762,-0.28164273783,-0.28164273778000004,0.0,False
Barwon,Administrative and support services,2544,Registered nurses,22.409626947,-0.018611300516,-3.8382050848,4.8142027833,0.97599769851,0.9759976984999996,0.97599769851,False
Barwon,Administrative and support services,2611,Ict business and systems analysts,4.3776799361,0.011342904951,0.52268390078,0.40476434229,0.92744824307,0.9274482430700001,0.92744824307,False
Barwon,Administrative and support services,2612,Multimedia specialists and web developers,3.5960742209,0.011342904951,0.42936215729,0.058031187727,0.48739334502,0.487393345017,0.48739334502,False
Barwon,Administrative and support services,2613,Software and applications programmers,9.464531981,0.0066429824182,0.64785884655,0.76741503318,1.4152738797,1.41527387973,1.4152738797,False
Barwon,Administrative and support services,2621,"Database and systems administrators, and ict security specialists",6.2451627478,0.011342904951,0.74565662033,0.46461025723,1.2102668776,1.21026687756,1.2102668776,False
Barwon,Administrative and support services,2721,Counsellors,8.995422745,0.0038363317067,0.35111314497,2.2701490794,2.6212622244,2.6212622243699997,2.6212622244,False
