occupation,month,compound,n
aged_and_disabled_carers,2017-09,0.9821,1
aged_and_disabled_carers,2020-05,-0.9324,1
aged_and_disabled_carers,2020-10,0.8935,1
aged_and_disabled_carers,2020-12,-0.8839,1
aged_and_disabled_carers,2021-01,0.35229999999999995,2
aged_and_disabled_carers,2021-02,-0.6659,1
aged_and_disabled_carers,2021-08,0.3913,1
aged_and_disabled_carers,2021-10,0.1732,1
aged_and_disabled_carers,2022-04,-0.3503,1
aged_and_disabled_carers,2022-11,-0.47414999999999996,2
aged_and_disabled_carers,2023-03,-0.046,4
aged_and_disabled_carers,2023-05,0.0618,1
aged_and_disabled_carers,2023-09,-0.8464,1
aged_and_disabled_carers,2023-10,-0.351,1
aged_and_disabled_carers,2023-11,0.9789666666666667,3
aged_and_disabled_carers,2024-01,0.9739,1
aged_and_disabled_carers,2024-02,-0.0035,1
aged_and_disabled_carers,2024-05,0.3434,1
aged_and_disabled_carers,2024-06,0.46865,2
aged_and_disabled_carers,2024-10,0.0736,1
aged_and_disabled_carers,2025-01,-0.6968,1
aged_and_disabled_carers,2025-04,0.5724,1
aged_and_disabled_carers,2025-05,-0.1987,1
aged_and_disabled_carers,2025-06,0.014249999999999985,2
aged_and_disabled_carers,2025-07,0.9337,1
aged_and_disabled_carers,2025-08,0.7741,1
aged_and_disabled_carers,2025-11,-0.3082333333333333,3
aged_and_disabled_carers,2025-12,0.04705000000000001,2
aged_and_disabled_carers,2026-02,0.711,1
aged_and_disabled_carers,2026-03,-0.004020000000000001,5
aged_and_disabled_carers,2026-04,0.34118,5
aged_and_disabled_carers,2026-05,0.0554,2
commercial_cleaners,2021-03,0.4287,1
commercial_cleaners,2022-12,0.9751,1
commercial_cleaners,2023-01,0.9861,1
commercial_cleaners,2023-02,0.41350000000000003,2
commercial_cleaners,2023-03,0.288,4
commercial_cleaners,2023-04,0.08658,10
commercial_cleaners,2023-05,0.354275,16
commercial_cleaners,2023-06,0.2353875,8
commercial_cleaners,2023-07,0.4875142857142857,14
commercial_cleaners,2023-08,0.11117999999999999,10
commercial_cleaners,2023-09,0.3285142857142857,7
commercial_cleaners,2023-10,0.11995454545454547,11
commercial_cleaners,2023-11,0.043135714285714284,14
commercial_cleaners,2023-12,-0.1461777777777778,18
commercial_cleaners,2024-01,0.08296363636363636,22
commercial_cleaners,2024-02,0.32817999999999997,5
commercial_cleaners,2024-03,0.3097166666666667,12
commercial_cleaners,2024-04,-0.11737500000000001,8
commercial_cleaners,2024-05,0.19561666666666666,6
commercial_cleaners,2024-06,0.4332125,8
commercial_cleaners,2024-07,0.19064,5
commercial_cleaners,2024-08,0.481225,8
commercial_cleaners,2024-09,0.3416909090909091,11
commercial_cleaners,2024-10,0.22583999999999999,5
commercial_cleaners,2024-11,0.18485000000000004,6
commercial_cleaners,2024-12,0.07493749999999999,8
commercial_cleaners,2025-01,0.06233999999999999,10
commercial_cleaners,2025-02,0.4597,4
commercial_cleaners,2025-03,0.33148333333333335,6
commercial_cleaners,2025-04,0.12728,5
commercial_cleaners,2025-05,0.47244,5
commercial_cleaners,2025-06,-0.12154999999999999,12
commercial_cleaners,2025-07,0.12751666666666667,12
commercial_cleaners,2025-08,0.28778750000000003,24
commercial_cleaners,2025-09,0.3290923076923077,13
commercial_cleaners,2025-10,0.40121333333333337,15
commercial_cleaners,2025-11,0.18294166666666667,12
commercial_cleaners,2025-12,0.45705,10
commercial_cleaners,2026-01,0.06897142857142857,14
commercial_cleaners,2026-02,-0.10219166666666667,12
commercial_cleaners,2026-03,0.09810625,16
commercial_cleaners,2026-04,-0.15403333333333333,6
commercial_cleaners,2026-05,0.08639,10
education_aides,2021-07,0.0052,1
education_aides,2021-08,0.1153,1
education_aides,2022-08,0.1426,1
education_aides,2022-11,0.9314,1
education_aides,2023-03,0.0493,1
education_aides,2023-04,0.9675,1
education_aides,2023-05,0.921,1
education_aides,2023-07,0.868375,4
education_aides,2023-08,-0.8359,1
education_aides,2023-10,0.9814,1
education_aides,2023-11,0.23614999999999997,2
education_aides,2023-12,-0.0378,2
education_aides,2024-01,0.22692,5
education_aides,2024-03,0.8525,2
education_aides,2024-04,-0.21910000000000002,2
education_aides,2024-05,-0.31935,2
education_aides,2024-06,0.5041,3
education_aides,2024-07,0.8718,1
education_aides,2024-08,0.3822,1
education_aides,2024-09,0.9772,1
education_aides,2024-10,0.9613,1
education_aides,2024-11,0.43615000000000004,2
education_aides,2024-12,-0.9151,1
education_aides,2025-01,0.045,2
education_aides,2025-02,0.946,1
education_aides,2025-03,0.6742333333333334,3
education_aides,2025-04,-0.37155,2
education_aides,2025-05,0.9819,2
education_aides,2025-06,0.003520000000000012,5
education_aides,2025-07,0.0031,1
education_aides,2025-09,0.21365,4
education_aides,2025-10,0.31656666666666666,6
education_aides,2025-11,0.22218571428571426,7
education_aides,2025-12,0.8048500000000001,2
