video_id,occupation,year,word_count,is_au_relevant,text,segment_count,video_title,video_channel,published_at,search_query,source,compound,pos,neu,neg,sentiment_label
jSagSLl-Trs,aged_and_disabled_carers,2023,311,True,I think you've got to be a people person so you have to be able to communicate in the nicest way you gotta smile of course because you're dealing with lots of people and client can know if you have a bad day in that day so and then of course that comes down to a caring nature I think that's the most important thing and you got to be empathetic of dealing with someone's if they have um something bad in their life so how do you handle that well I'd say working with dementia uh I mean when you talk to them it can be hard especially when they're non-verbal so you gotta really understand what they trying to say that comes down to communication skills as well uh because working in HK you've got us your scope of practice so you're gonna make sure that the client don't overstep that boundary so you've got you have to be able to say no but in a nice way possible I I'd say this job can be really undervalued so lots of people lots of people think our age is a carer not a nurse um but at the same time it's the most not the most probably the most rewarding because you really make a difference into someone's life by doing just a tiny insignificant things and then you see them smiling at the end of the day you want to go home feeling happy and content to yourself I would say there's two pathway if you want to be in nursing skills of that you can be nurse nurse you can do diploma of nursing or and or Bachelor of nursing or if you want to work with the human side of that you can be a case manager so there is a coursework case management as well,46,What’s it like to be a Aged Care Worker in Australia?,SEEKJobs,2023-05-03 02:14:59+00:00,aged care worker Australia,youtube_transcript,0.9754,0.117,0.853,0.031,positive
Rapsn30Wtak,aged_and_disabled_carers,2025,589,True,"Aged care in Australia is changing for the better. The new aged care act puts you at the center of your aged care. It will make aged care safer, fairer, and more respectful. Aged care in Australia is being transformed so it is safe and highquality for all older people, both now and into the future. The New Aged Care Act will bring important changes across six main areas. Let's take a closer look. At the center of our new aged care system are the rights of older people. You will have the right to make decisions about your own life under the new act. You also have the right to take risks just like you do now. You will also be able to say if you would like support to make decisions about the care and services you receive and decide who can support you. If something doesn't feel right, you'll be supported to speak up and providers will listen and respond quickly and fairly. You can talk to the Age Care Quality and Safety Commission if you're unhappy with how your provider responds. New rules and regulations will oversee the aged care system. Providers will need to be registered and meet the expectations of the Age Care Quality and Safety Commission to receive government funding and provide services. The commission will hold the care provider accountable and will work closely with all providers to ensure your safety, rights, and care are put first. It will be easier for you to access age care services when the time is right for you. Once you turn 65, you are eligible to receive an aged care assessment. The single assessment process will make it simpler and fairer to work out what kind of services you want and need. It will also give you greater choice and control and let you decide how you receive services and who provides it. And some people like Aboriginal and toouristrate islander people or people at risk of or already experiencing homelessness will be able to access age care services earlier from 50 years of age. Highquality care starts with providers and workers who listen, understand, and treat you with respect. That's why the new act sets stronger care standards and a better system of monitoring providers to ensure they're doing the right thing. The care you receive should be safer, more consistent, and better suited to what you want and need. And it also means care that respects who you are, your culture, your identity, your story. The new act gives you more choice and promotes transparency. Providers will be more accountable with clearer rules on how they operate and spend money. Based on publicly available information about how a provider operates, you can make a more informed choice about who delivers your services. Aged care workers are a key part of making aged care safe and respectful. Workers will have clearer job responsibilities under the code of conduct and strengthened quality standards so they can focus on giving you the best possible care. There will also be progressively stronger worker screening standards to make sure the right people are working in aged care. And if something doesn't seem right, it's important to speak up. Whether you're a worker or an older person, there are whistleblower protections in place to help keep everyone safe. As you can see, these are some big changes being made to aged care in Australia. To learn more about what the Newaged Care Act means for you, visit myagedcare.gov.au.",96,New Aged Care Act (full length version),"Australian Dept of Health, Disability and Ageing",2025-06-20 00:35:10+00:00,aged care worker Australia,youtube_transcript,0.9994,0.258,0.732,0.01,positive
_U2X1PmiSoQ,aged_and_disabled_carers,2025,1259,False,"If you're navigating age care for yourself or someone you love, this video is for you. I want to walk you through the most important things that you can do before you talk to my age care or before you have your assessment. It's simple, it's powerful, and it can really make the difference between getting the care you need and not. I'm Tanya from Insider Information. Today I'm going to show you how to do your own age care assessment so you go in more prepared than your assessor. Let's make it easy. So, here's something that might surprise you. The people who answer the phone at My Age Care are not health professionals. And most assessors who come to your home aren't either. And yet what they approve or don't approve will directly affect what support you're eligible for. If they think you need someone with clinical experience, which you do need to get high level packages, they can arrange it. But the hard truth is when people don't get the level of care they actually need, it's often because of what was said or what wasn't said during the call or the assessment. And it's not your fault. It's hard psychologically and because it requires the knowledge, but it's actually not that tricky. It is confronting to talk about the parts of our lives or our loved ones lives that aren't working well. We're used to presenting the best version of ourselves, but age care assessments are not about your best day. They need to see the whole picture. And that's where doing your own self assessment comes in. So here's what I want you to do. I want you to grab a piece of paper and over the course of a week, yes, a full week, I want you to write down all the things you or your loved one need help with, the things they can't do, the things others people help with, the things they avoid because they're too hard. And why a week? Because no two days are the same. Different things happen on different days and sometimes we can manage one day but not the next. The idea is that we build a complete picture. This written list is going to become your guide when you talk to my age care or when the assessor visits. It means that nothing gets forgotten. You don't have to think on the spot. you're going to be so much more confident in explaining what support is actually needed to help you prepare. I've created a detailed checklist that covers all the key areas an assessor might ask about and some they'll probably miss entirely. So, here are the main areas to consider when doing your own age care assessment. Domestic chores. Can you vacuum? Can you mop? Can you carry the vacuum cleaner up the stairs? Can you balance or have the strength to ring out a mop? Can you reach down to clean a shower or bath? Can you change your bed linen? This is sometimes very tricky for older people. Mattresses are heavy. And can you carry your washing basket? Can you hang out the sheets? When it comes to meal preparation, can you plan? Can you prepare on your own? Can you lift the pots and pans? Can you stand to stir safely a pan or a pot? Can you use the oven? Can you open the jars and containers without any difficulty? So, what about shopping? Can you get to the shops on your own? Can you carry your groceries? Can you push a trolley? Can you read the labels? Can you get the items off the shelf? Are you able to drive? How about public transport? Do you feel safe on public transport? Have you had any falls lately when you're out and about? Or do you just not go places because you're worried you're going to fall? When it comes to medications, do you actually remember to take them consistently? Can you read the labels? Can you open the packaging? Have you ever missed doses or have you ever made a mistake? When it comes to mobility, do you use furniture to balance as you move around the house? How do you go with stairs or curbs? Are they difficult? What about getting in and out of bed? Is the bed too high? Is the bed too low? How about the shower or the bath? And do you use a walking aid? Is that enough? Do you feel safe and secure and confident? Or is your mobility stopping you from doing things? There's a mountain of other areas. Gardening and home maintenance. Can you change your light globes? Can you keep the paths clear so that you you don't fall coming in and out of your own property? Personal care, pain, fatigue, memory, thinking, mood, social engagement, continents. What about the current supports you have in place and the capacity of your existing carers to support you? Are you being helped by somebody, a partner or an adult child, perhaps friends or neighbors? Is that support sustainable? Are they juggling their own health, work or family commitments? What if they were not available? Is there distance involved for these people to support you? This list is your guide. And over the course of a week, I want you to write down what help is needed, what you're avoiding, and what others are doing for you or your loved one. The full checklist is linked in the description below. Just download it, fill it in, and have it with you for your call and or assessment. It's a really practical, simple way to make sure that nothing gets left out. And what the real picture is is going to be what gets seen and what gets heard. Doing this assessment isn't about exaggerating. It's about making sure that your needs are seen and heard clearly, honestly, and without anything being left out. It helps the assessor to understand the real day-to-day picture, not the version that's easier for you to talk about. And honestly, unless you get someone highly experienced doing this, you'll likely know more about your needs or your loved ones than the assessor does. This video is about giving you the tools to do this yourself. And yes, it really is that easy. But if you find it's too much, if you don't have time, or you just want someone to talk it through with, I'm here for that, too. You can head to my website and make a time to chat for a clarity consultation. Sometimes it's helpful just to speak to somebody who understands the system and can help you get it right the first time. So if you're getting ready to speak to my age care, start here. If you already have a package and you need more care, if you're on the waiting list and you can't wait, or if you're waiting for your assessment to happen, use this. Do your own assessment. Use the checklist. build the real picture. The link to the checklist is down below. Just click it and download. And if this video helped, please hit the subscribe button. It helps more people to find this channel, and it means I can keep creating these free resources to help families like yours. And if there's a specific topic you'd like me to cover, use the suggested topic link in the description below. I'd love to hear from you.",188,Preparing for Your Aged Care Assessment -The #1 thing to get the care you actually need,Insider Information Aged Care,2025-04-27 08:24:24+00:00,aged care worker Australia,youtube_transcript,0.9997,0.182,0.784,0.034,positive
Py9JjV7k0iI,aged_and_disabled_carers,2024,475,True,so we're here at gindel in Cambra where we've got students working with nurses and clinical facilitators to have a positive experience working with older people on site so the cot program is clinical placement with older people I'm Jina Casey I'm one of the residents here traditionally we've had a shortage of nurses engaging them so that they stay fresh and in the industry as opposed to just being left on their own I think is a really important part of this process well a cop program widened my experience um because I've had an age care experience in the hospital setting so being in a residence setting really does give me an a refreshing experience before like I used to get a lot of students saying like you know I want to start my career working in the hospital but they have changed their concept now like maybe they have been you know more open to the care that we have been providing to our residents Age Care is relevant to all nurses and all nursing students and I think it's really Val for everyone to have a good understanding of what it is to be in the field of geriatric nursing to develop an understanding of the complexity of care and also the depth of knowledge that nurses who are in the age care residential or Ward care require in the hospital we get allocated like different patients every day but as opposed to Residents they're always here so every day you come to work you see the same uh patients so you build the same amount of uh rapple over time as opposed to hospital settings it's also about complex care like catheters epileptic cissors some stoas and we provide a paliative care to the resident who have entered TOS the terminal phase so yeah they're really getting this experience in this journey with the wound care we take the student nurse along with the register nurse because they have to be supervised at all the time we just don't leave the students on their own a lot of them walk away um after the program with a whole new appreciation of what it is to be an age care nurse and working within the field and they build really lovely therapeutic relationships with not only the nurses but the residents people as they get older have been themselves for longer and so their choices and preferences and ways of living needs to be supported as they might develop complex and chronic illnesses and nurses have got the skill sets and the knowledge about those different kind of complex comorbidities dementia delirium cancers different kinds of care needs that's what our nursing students need to be learning and be ready to provide as we go forward into the Brave New World,73,Experiencing the Aged Care Nursing Clinical Placements Program,"Australian Dept of Health, Disability and Ageing",2024-09-04 04:19:05+00:00,aged care worker Australia,youtube_transcript,0.9981,0.177,0.812,0.011,positive
zwoMkkx--XA,aged_and_disabled_carers,2019,679,False,I started working at Oakridge as a facility support worker in the kitchens I'm not really showed me and what the support worker role entailed I really motivated me to pursue a career that I've never considered before I played for the trainee position and that led to my current role which I'm really enjoying as a disability support worker in Oakridge having worked for 15 years with all the people's services I thought it was time for a new challenge and working with run disability has given me that the origin daycare of courses lent itself to a better work-life balance notice new addition to the family as well I have been working as a support worker in the daycare center the people who have both learning and physical disabilities for almost 5 years it has really helped me to decide that I want a career in helping others and now I am progressing into nursing I have recently taken up the post as a boundary disability support worker after completing my bound to Jenny I have been given a lot of support and training in order to get my promotion and I look forward to getting more experience I previously worked with in dementia for about six years and I felt I was ready for a new challenge I enrolled in the trust trainee scheme and find there's a great learning experience it gave me the opportunity to develop my skills and a number of settings including support 11 hospital via settings and day care services day care services impress me the most so I chose this area to work in following successful completion of a Jesus scheme I continued to find my job as a day care support worker very rewarding and fulfilling working in daycare with people with very complex needs can indeed be very challenging but you do receive lots of training on support to help you cope with the demand of the job it's very rewarding to know that you're helping to build people to just do some of the normal things a lot of us take for granted I mostly work with male services and gained lot of experience helping those with more challenging behavior it would be great if more male support workers join our team it is highly challenging but it is definitely rewarding working in taker you have to be reliable and compassionate and able to build strong working relationships with your service users so they can trust you and feel comfortable working with you such as was personal care dear care work is a brilliant job if you are a people person you need to be a good communicator have the ability to support service users to develop their social and interpersonal skills and I'm so pride to work with these great with adults with disabilities to see them reaching their potential and unshown their talents off and everyday life I thoroughly enjoy my jobs and their opportunities it gives me the opportunity to see the people that I care for having a choice I'm participated in activities of their choice within the community setting working with individuals with the learning or a physical disability can be a very rewarding experience and the solutions we're looking for compassionate and reliable people who are interested in supporting adults with a disability disability support workers help service users and day care and day opportunities and help them get the most out of their day you'll work as part of a team promoting independence social inclusion and how to improve the quality of the life of our service users we've arranged a full time on part-time options right across the trust this post offers great flexibility this can be a challenging and very rewarding experience sometimes working with people with a range of complex physical and behavioral needs but training and support is provided and there are a range of great opportunities right across the salon trust so if you're up for the challenge we'd love to hear from you you,110,Disability Support Workers,Southern Health and Social Care Trust,2019-08-01 10:24:04+00:00,disability support worker Australia,youtube_transcript,0.9998,0.309,0.689,0.002,positive
03BH6tnu9aY,aged_and_disabled_carers,2021,338,True,um hey i love it how they're always there for me and i can always count on them no matter what it's not just a job for me personally it's very gratifying actually sometime we go out we go have a coffee somewhere to our necessities like shopping and stuff you know and have a bit of a laugh on the side as well sometime have fun hi my name is buby and i work as a support worker for at home care hi i'm john morris i'm the managing director of at home care my name is masimi i've been working in the care industry for over 10 years now hi my name is jessica i'm a care team coordinator at home care at home care is a specialist in the ndis space we look after people with complex needs adults and children and typically clients with neurological injuries spinal cord injuries acquired brain injuries our purpose really is around giving people the freedom to live their life how they choose we do different things with the clients we go out we take walks and we cook and also the teamwork there is a good team spirit there is 24-hour support from the rms the clinical nurses and so it makes it so much easier to work for at home care because you get the help when you need it i think there's a lot of opportunities for staff to progress and upskill yourself as well over the last two years i've bought good friendships with my carers and are they i look at them more as friends who can save my life rather than carers it's a great place to work because our clients have specific and complex needs which means you can form a relationship with one or two clients and almost become part of their family it's a lot more rewarding and you get to see the difference you're making every single day the best in life you can do is help people you,68,What is it like to be a Disability Support Worker?,At Home Care,2021-07-08 01:30:32+00:00,disability support worker Australia,youtube_transcript,0.9983,0.244,0.754,0.003,positive
owGBPpJ4YfE,aged_and_disabled_carers,2013,1087,True,"Hello, my name's Ram Drew. Raymond James Drew. I'm the king. Not queen. Queen. A queen. Queen. Not queen. And I like singing songs. I like music. Oh. And barber. Oh, I do a lot drama. Oh, yes. I was a music teacher at Paisley High School and my girlfriend used to live in Hampton. I was visiting her one day and I I touched the lamp. It was faulty. I was trying to fix a lamp which I shouldn't be in the first place and and I get electrocuted and that's caused bondness and loss of memory caused me brain damage and I can't walk. I can't I can speak up obviously but uh but I can't walk and I like I used to like walking. My father used to take me walk around the box used to like playing football too. Got a few traverses in my room but Leon first and second person first and most citizens because of my series it's stopped me doing horse riding and u and swimming cuz I might drown in the pool or can fall I drop the horse off the horse. I'll live with it now. I I find out when when when you when you get something drastically wrong for you whether you have to live it might support person that wasn't important that's wasn't intended if I might have sworn important support person not my I can't I can't say no my fault because I did it I did it but uh wasn't the real bra s during surgery and real bra pre-surgery. It's very difficult to separate in those moments um the behavior of the person and you you just stop looking the person itself. It's not the person trying or doing that. It's just um it's just decision the epilepsy. A lot of people when see a person in a wheelchair it is it feels pity for them. um you shouldn't because through the years people like me has learned to get a lot of strength from them and that's when you come to these places you really need to keep your mind completely open that you can give them they can give you and you can learn from them it's both ways I like to support workers person to tell me what happens happened with my seizure as a new support worker always make sure that you read the management plan for the client clients. It is important. That's the way that they request to be assessed. That's what they want and that's it's been obviously review and support by the doctors. It is important to get familiarized with that because it will make you a better support worker. The clients will be happy because you listen what they telling you that what they want. HPY. I'm a JPY. You know, I am. I'm sorry. I'm a JPY. Oh, 24. Summonats. See? Yeah. Some people don't know what the summons are. My name's Ben. I've had epilepsy since I was 13. and about 15 it went out of control. Um I was in a wheelchair, but now I've been out the wheelchair for that long. The tires have gone flat. Even though he has seizures most days and every night, he just gets up each day and keeps going. And he's got so many dreams and aspirations. It's stopped me from driving. Um, I've always wanted to be a mechanic, but I can't in that sense. Too dangerous. But at work, I do car detailing. He loves washing cars. When it gets washed, we clean the wheels. When we shimmy it, we shimmy all the inside the doors and everything. And we get to take him back and pick up another one and even if he has seizures all during the night and he's very tired and I know it's a struggle for him to get up and go to work. We do the inside like vacuum the seats as well as the floor, the boot. I've made friends with people with other um disabilities and some of them think, you know, they're really hardly done by and then they look at me and think, wo, you know, I do see other people worse off. He tells me about other people who are having a hard time. Um, and he feels so empathetic towards them and feels so sorry for them when he's got so much going on in his own life. I've had quite a few support workers over the years. Dave, he's really good. Same with Melinda. And um, then I've had a few bad ones. A good support worker needs to adapt to change. Sometimes Ben's carer will come to our place and Ben will have something organized that he wants to do for the day. He might want to go around and look at some cars. He may want to go to Donut King. If it's a nice cool day, I have um cappuccino. If it's too hot, then I'll have a milkshake. Yes. With a couple donuts. But it doesn't always work that way. Sometimes Ben may have had so many seizures during the night and he's struggling to get out of bed. So Dave needs to then change that program. Maybe let Ben have a sleep in and then try and do those things later in the afternoon rather than early in the morning. I feel um safe with Dave um when I have a seizure cuz he's even seen my big tonic seizures and um he even asks mom what he needs to do to help. You don't have to call an ambulance every time that they have a seizure. There's lots of different seizures. Just relax and enjoy the person. The person has epilepsy. the epilepsy doesn't have the person down the street. You know, people give us bad looks and everything. And I mean, they've really said some horrible stuff cuz I wear the helmet. Um cuz I need to wear the helmet when I'm standing, but I don't need to wear it when I'm sitting. And um I don't need to wear it when I'm asleep either. And even at the summonets, everybody, you know, like they all just come up to you and even though some of them are that drunk, they still Yeah, they they still come up to you and start chatting and Oh, no. Fords are good cars, but I'd rather own this than the Toyota. Heat. Heat.",181,Disability Support Workers - a client perspective,Epilepsy Foundation Australia,2013-05-27 04:25:51+00:00,disability support worker Australia,youtube_transcript,0.9979,0.129,0.812,0.059,positive
cE68YOK5htg,aged_and_disabled_carers,2024,357,False,hello my name is Melissa um I work as a disability support worker for the disability trust What attracted me to this sector was um I do have a daughter with disabilities so um I wanted to expand on that and work with people with disabilities because a disability is just a a word it's not who the person is my name is Kelly B living in this house has made me feel great they've really encouraged me to getting out getting in the wheelchair coming to work and seeing the difference that has been made especially for participants like Kelly who have come from a place where she was bedbound and unable to get out of bed where now she's getting out of bed spending the whole day in her wheelchair doing things that she never thought that she would be able to do disability tust has helped me achieve making more friends made show closer to my family knitting um craft cooking my working relationship with Kelly has been great because we have seen such a difference in her um from when she first came here just being able to as a support worker um support her in doing everything that she's wanted to achieve the most challenging part of my role is I think that my work doesn't stop when I leave the doors of this house I think I'm always thinking of what more I can do for this house my greatest achievement at the trust is seeing participants like Kelly come from where she was she was in hospital for nearly 12 months she was then moved from hospital to another facility which was a long way from her family and you've gone from taking all of these medications to now taking no no painkiller medications and being able to get out of bed from having three people help you get out of bed being able to go back to her favorite coffee shop that she has not been to in 2 years my favorite uh coffee shop is ruix at Miranda makes such a difference in her life she's so happy,50,A day in the life of a Disability Support Worker,DisabilityTrust,2024-01-02 22:29:41+00:00,disability support worker Australia,youtube_transcript,0.9957,0.157,0.84,0.003,positive
KE8ho_EGn20,aged_and_disabled_carers,2023,613,True,this is about becoming an ndis support worker what checks do you need to have in order to work with people with mental health needs and disabilities what educational background will help you succeed in the role and what free online modules are available to prepare you best when you start working as a support worker make sure you watch until the end as we will let you know what are the six main skills and qualities you need to have if you want to work with people with disabilities and mental health needs let's start with all the checks that you need in order to start working as a support worker you will need to have a police check in order to ensure the safety of your clients if you would like to work for an ndis registered provider you will need to have an ndis worker screening check then you don't have to have a police check because this one is already covering your criminal background if you want to work for yourself as in directly with your clients or with multiple agencies at the same time you will want to apply for an ABN Australian business number don't get fooled when you like go online and search for it because there are companies that want to charge you for the application process but it's very easy and it should not take longer than 15 minutes and it's free a first aid certificate will help you to react appropriately in an emergency situation if you want to start working with children you will need the working with children check but don't worry we're going to put all the relevant links that you will need for your checks in the description of your video a formal education is not a requirement if you would like to start working as a support worker but it certainly helps so Social Work nursing or psychology are examples of other educational backgrounds that will help you with tackling the role as a support worker remember it's all about your skills where you acquired them is secondary the ND work and orientation module is a great module where you can learn about the principles and Frameworks of the NDS and the NDS code of conduct is certainly something you should be familiar with and understand before you start working as a support worker the six most important qualities and skills a support worker must have are communication it's very important that you can communicate timely and honestly with your clients remember that you're working with vulnerable people who need to be able to rely on you and trust you empathy you need to be able to connect with your clients and read their body language a lot of times your clients might not be able or be confident to tell you what they needs are you need to be able to pick up on that flexibility it's all about what your Cent needs and that can change throughout the day so you need to be prepared to change plans and you should be supportive and encouraging when it comes to that reliability your clients need to be able to rely on you especially if they have mental health needs problem solving a can do attitude is a must a lot of times your clients are faced with barriers and restrictions you need to be the one that helps them see the Silver Linings and of course a commitment to a person centered approach and the respect for diversity if you like this video please hit the like button and please subscribe to our Channel see you later,89,How to become an NDIS Support Worker,Support Workers Melbourne,2023-12-05 02:04:06+00:00,NDIS support worker Australia,youtube_transcript,0.9989,0.195,0.789,0.016,positive
_vLUoLdjW8s,aged_and_disabled_carers,2023,554,True,this is about what support workers do and why they're so important what task and responsibilities are involved with the role and how do support workers help their clients live a more independent life stay with us as we will break down what's involved with being a support worker and make sure you watch until the end as we will also reveal what makes an excellent support worker before we get started to talk about what ND support workers do let's quickly summarize who are they they're also known as disability support workers or personal care assistants and they can be working in your home in the community at residential cares all under the national disability insurance scheme also known as the ndis but what do support workers do on a daily basis that entirely depends on you because their main responsibility is to help you live a more independent life and that's why they're so important because they're the person you can call if you just want to get an errand run or even if you want to go and see a movie and that takes a lot of pressure from Friends and family member but let's take a closer look into what support workers can help you with there is personal care assistance which involves tasks like toileting showering dressing and grooming I have my cat here there is medication management making sure that you stay on top of your medication and also making sure that if there are any changes that could be related to the medication that that's documented other things support workers do is providing Mobility assistance helping somebody to get into a wheelchair for example or transport helping you access your community visiting your family or just making sure that you can go to your doctor's appointment inside the house they can help with meal preparations cooking together can actually help with skill building and be a lot of fun and can build trust and they could help with vacuum cleaning folding laundry everything that needs to be done around the house but apart from helping with the ins and outs of everyday life support workers are also a bridge of communication they can help you communicate with your friends Healthcare Providers or other Support Services they can also help you stand up for yourselves and speak for you making sure that your unique needs and preferences are met but the most important thing they will help you with is the emotional support they are the ones that you can talk to if you have a bad day if you want to have a cry or if you just want to have a winge about something an excellent support worker is a person who is highly flexible because it's all about you and what you want and that can be different from day to-day you might have set up to just go to see a movie but then you change your mind and you want to get your house clean a support worker needs to understand that and be there for you and help you with what you need on that day if you like this video please hit the Subscribe Button as we will record more videos about the n and how the NDS can help you,80,Support Work in Australia: What NDIS Support Workers do,Support Workers Melbourne,2023-11-16 01:57:24+00:00,NDIS support worker Australia,youtube_transcript,0.9993,0.249,0.733,0.017,positive
